start,end,speaker,text
0.0,27.220000000000002,SPEAKER_03," So sorry, I got the the floor now? Which one is it? Yes, it was. Third one? Do you want us to do it really fast?"
27.220000000000002,31.32,SPEAKER_03, I think it is a pretty quick one.
50.26,52.26,SPEAKER_02, I'm gonna put it in the middle.
52.26,54.26,SPEAKER_02, That was quite good.
54.26,56.26,," Yeah, that was quite good."
56.26,57.26,, Okay.
57.26,58.26,, Okay.
58.26,59.26,, Okay.
59.26,62.26,, Okay.
62.26,64.25999999999999,, Okay.
64.25999999999999,65.25999999999999,, Okay.
65.25999999999999,66.25999999999999,, Okay.
66.25999999999999,67.25999999999999,, Okay.
67.25999999999999,68.25999999999999,, Okay.
68.25999999999999,70.25999999999999,SPEAKER_04, There we go.
70.25999999999999,71.25999999999999,, Okay.
71.25999999999999,72.25999999999999,SPEAKER_04, Okay.
72.25999999999999,73.25999999999999,SPEAKER_04, Okay.
73.25999999999999,74.25999999999999,SPEAKER_04, There we go.
74.25999999999999,75.25999999999999,SPEAKER_04, Okay.
75.26,77.26,, Okay.
77.26,78.26,, Okay.
78.26,79.26,, Okay.
79.26,80.26,, Okay.
80.26,81.26,, Okay.
81.26,82.26,, Okay.
82.26,83.26,, Okay.
83.26,85.26,SPEAKER_02," Um, welcome to our second meeting."
85.26,86.26,SPEAKER_02, This is the functional design meeting.
86.26,89.26,SPEAKER_02, And I hope you all have a good individual working time.
89.26,90.26,SPEAKER_02, Okay.
90.26,91.26,SPEAKER_02, Let's get started.
91.26,92.26,SPEAKER_02, Okay.
92.26,93.26,SPEAKER_02, Here's the agenda for the meeting.
93.26,96.26,SPEAKER_02," After the opening, um, I am going to the clear the role of secretary."
96.26,97.26,SPEAKER_02, Okay.
97.26,98.26,SPEAKER_02, Then we're going to have three presentations from each of you.
98.26,99.26,SPEAKER_02, Then we're going to discuss some new project requirements.
99.26,105.26,SPEAKER_02," Um, going to come to decision on the functions of their mode control and then we're going to close up the meeting."
105.26,107.26,SPEAKER_02, And we're going to do the some of that for minutes.
107.26,108.26,SPEAKER_02, Okay.
108.26,109.26,SPEAKER_02, Okay.
109.26,113.26,SPEAKER_02," First, I want to discuss the goals of this meeting."
113.26,116.26,SPEAKER_02," Um, I'm going to go to the next meeting."
116.26,117.26,SPEAKER_02, Okay.
117.26,118.26,SPEAKER_02, Okay.
118.26,121.26,SPEAKER_02," First, I want to discuss the goals of this meeting."
121.26,122.26,SPEAKER_02, Okay.
122.26,123.26,, Okay.
123.26,127.26,SPEAKER_02," First, I want to discuss the goals of this meeting."
127.26,137.26,SPEAKER_02," First, we need to determine the user requirements and the question that we can ask ourselves is what needs and desires are to be filled by this remote control."
137.26,141.26,SPEAKER_02, And then we're going to determine the technical functions.
141.26,143.26,SPEAKER_02," What is the effect of the app, Radis?"
